                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2666,                 2.7473,                 1.4292,                0.72335,                0.74261,                 0.7673,                0.49951,                 1.2864,                 6.9964,                 1.5931,              0.0033258,              0.0033258,              0.0033258
                      2,                 1.2446,                 1.9297,                 1.3939,                0.70224,                0.65096,                0.69996,                0.39252,                 1.6474,                 5.9625,                 2.0842,              0.0065932,              0.0065932,              0.0065932
                      3,                 1.3483,                  1.778,                 1.4788,                0.58105,                0.53388,                 0.5512,                0.30928,                  1.893,                 3.4473,                 2.1876,              0.0097946,              0.0097946,              0.0097946
                      4,                 1.4482,                 1.7579,                 1.5599,                0.61348,                0.60157,                0.67022,                0.37392,                 1.5467,                 2.1502,                 1.8485,               0.009703,               0.009703,               0.009703
                      5,                 1.3803,                  1.556,                 1.5223,                0.60705,                0.65315,                0.66401,                0.37416,                 1.5897,                 2.2788,                 1.9502,               0.009604,               0.009604,               0.009604
                      6,                 1.3271,                 1.4517,                 1.4788,                0.73785,                0.69316,                0.78475,                 0.4578,                  1.509,                 2.1266,                 1.8644,               0.009505,               0.009505,               0.009505
                      7,                 1.2814,                 1.3645,                 1.4523,                0.65408,                 0.5475,                0.60933,                0.35619,                 1.7127,                 1.9931,                 2.0922,               0.009406,               0.009406,               0.009406
                      8,                 1.2475,                 1.2895,                 1.4293,                0.75921,                0.74088,                0.80064,                0.51206,                 1.4989,                 2.5144,                 1.8569,               0.009307,               0.009307,               0.009307
                      9,                 1.2238,                 1.2381,                 1.4115,                0.80003,                0.79316,                0.87271,                0.57291,                 1.3944,                 1.5149,                 1.7009,               0.009208,               0.009208,               0.009208
                     10,                 1.1889,                 1.1835,                  1.388,                  0.817,                0.77023,                0.85968,                0.55506,                 1.3102,                 1.6911,                 1.6083,               0.009109,               0.009109,               0.009109
                     11,                 1.1728,                 1.1451,                 1.3736,                0.79356,                  0.828,                0.87003,                0.57158,                 1.3635,                 2.2373,                 1.6901,                0.00901,                0.00901,                0.00901
                     12,                  1.162,                 1.1314,                 1.3692,                0.83746,                0.81711,                0.88763,                0.57552,                 1.3711,                 1.3619,                 1.6729,               0.008911,               0.008911,               0.008911
                     13,                 1.1361,                 1.0864,                 1.3515,                 0.8429,                0.82988,                0.89369,                0.59754,                 1.2974,                 1.2606,                 1.6109,               0.008812,               0.008812,               0.008812
                     14,                 1.1194,                 1.0465,                 1.3424,                0.86088,                0.85432,                  0.922,                0.61939,                 1.2965,                 1.1944,                 1.6072,               0.008713,               0.008713,               0.008713
                     15,                 1.0933,                 1.0215,                 1.3224,                0.84413,                0.83894,                0.90881,                0.61725,                 1.3369,                 1.2183,                 1.6689,               0.008614,               0.008614,               0.008614
                     16,                 1.0885,                 1.0106,                 1.3149,                 0.8844,                0.82125,                0.90403,                0.62057,                 1.2102,                 1.1914,                 1.5351,               0.008515,               0.008515,               0.008515
                     17,                 1.0738,                0.98741,                 1.3101,                0.85945,                0.84542,                 0.9056,                0.62341,                 1.2671,                 1.0958,                  1.593,               0.008416,               0.008416,               0.008416
                     18,                 1.0662,                0.97414,                 1.3001,                0.87708,                0.89328,                0.92873,                 0.6544,                 1.2726,                  1.786,                 1.6119,               0.008317,               0.008317,               0.008317
                     19,                 1.0332,                 0.9431,                 1.2831,                0.88647,                0.87076,                 0.9336,                0.66206,                 1.1755,                 1.3537,                 1.5004,               0.008218,               0.008218,               0.008218
                     20,                 1.0356,                0.93326,                 1.2881,                0.87588,                0.90162,                0.93806,                0.66594,                 1.1637,                0.94395,                 1.4957,               0.008119,               0.008119,               0.008119
                     21,                 1.0183,                0.90088,                 1.2758,                0.88175,                0.89677,                0.94008,                0.67738,                 1.1746,                 1.0794,                 1.4972,                0.00802,                0.00802,                0.00802
                     22,                 1.0207,                0.89071,                 1.2716,                0.87354,                  0.925,                0.94993,                0.68513,                 1.1841,                0.88862,                 1.5023,               0.007921,               0.007921,               0.007921
                     23,                0.99715,                0.87164,                  1.253,                0.89008,                0.88422,                0.93812,                0.67232,                  1.175,                 1.0484,                 1.4979,               0.007822,               0.007822,               0.007822
                     24,                0.98558,                0.86578,                 1.2531,                 0.8915,                0.92973,                0.95462,                0.69005,                 1.1386,                 0.9212,                 1.4699,               0.007723,               0.007723,               0.007723
                     25,                0.98189,                0.86115,                 1.2466,                 0.8962,                0.90793,                0.95359,                0.69741,                 1.1667,                 1.1348,                 1.4825,               0.007624,               0.007624,               0.007624
                     26,                 0.9739,                0.84422,                 1.2452,                0.92396,                0.90513,                0.95883,                0.70394,                 1.1105,                 1.0443,                 1.4447,               0.007525,               0.007525,               0.007525
                     27,                0.96468,                0.81901,                 1.2374,                0.93255,                0.89894,                0.96166,                0.70668,                 1.1171,                0.81289,                 1.4567,               0.007426,               0.007426,               0.007426
                     28,                0.96571,                0.83052,                 1.2339,                 0.9016,                0.91999,                0.95847,                0.70866,                 1.0857,                 0.8429,                 1.4012,               0.007327,               0.007327,               0.007327
                     29,                0.94813,                0.81066,                 1.2274,                0.92732,                0.91483,                0.96336,                0.71378,                 1.0894,                0.89228,                  1.406,               0.007228,               0.007228,               0.007228
                     30,                0.93051,                0.78201,                 1.2134,                0.90824,                0.91535,                0.96102,                0.70619,                  1.108,                 0.8515,                 1.4412,               0.007129,               0.007129,               0.007129
                     31,                0.92468,                0.77278,                 1.2048,                0.92436,                0.92805,                0.96989,                0.73079,                 1.0754,                 1.0111,                 1.4067,                0.00703,                0.00703,                0.00703
                     32,                0.91527,                0.76273,                 1.2016,                0.93532,                0.93424,                0.96811,                 0.7345,                 1.0148,                0.76478,                 1.3505,               0.006931,               0.006931,               0.006931
                     33,                 0.9183,                0.77184,                 1.2045,                0.93196,                0.91871,                0.96651,                0.73075,                 1.0395,                0.78081,                 1.3609,               0.006832,               0.006832,               0.006832
                     34,                0.91021,                0.76813,                 1.2033,                0.95118,                0.93498,                0.97588,                0.74372,                 1.0436,                0.99735,                 1.3728,               0.006733,               0.006733,               0.006733
                     35,                 0.9013,                0.75169,                 1.1962,                  0.935,                0.94464,                 0.9774,                0.75649,                 1.0179,                0.63938,                 1.3556,               0.006634,               0.006634,               0.006634
                     36,                0.88942,                0.73755,                 1.1869,                0.94262,                0.93752,                0.97279,                0.74569,                 1.0229,                0.94386,                 1.3551,               0.006535,               0.006535,               0.006535
                     37,                0.88181,                 0.7244,                 1.1867,                0.92766,                 0.9547,                 0.9736,                0.75327,                0.97059,                0.68631,                 1.3117,               0.006436,               0.006436,               0.006436
                     38,                0.89132,                0.73036,                 1.1887,                0.93774,                 0.9533,                0.97425,                0.75169,                 1.0148,                0.98694,                 1.3335,               0.006337,               0.006337,               0.006337
                     39,                0.86499,                0.71356,                 1.1698,                0.95291,                0.94614,                0.97638,                0.76939,                0.99524,                 0.6408,                 1.3419,               0.006238,               0.006238,               0.006238
                     40,                0.86704,                0.70831,                 1.1681,                 0.9547,                0.95503,                0.97373,                0.75472,                0.94535,                0.84744,                 1.2782,               0.006139,               0.006139,               0.006139
                     41,                0.84995,                0.70098,                 1.1654,                0.94996,                0.94581,                0.97986,                0.75599,                0.97592,                0.81861,                 1.3057,                0.00604,                0.00604,                0.00604
                     42,                 0.8515,                0.68963,                 1.1582,                0.95302,                0.95102,                0.97989,                0.76537,                0.95102,                0.80872,                  1.299,               0.005941,               0.005941,               0.005941
                     43,                0.83281,                0.67538,                  1.149,                0.95247,                  0.954,                0.98297,                0.77756,                0.95971,                0.80997,                 1.3125,               0.005842,               0.005842,               0.005842
                     44,                0.85264,                0.68571,                 1.1601,                0.93934,                0.95681,                0.97756,                0.77682,                0.93754,                0.69045,                 1.2763,               0.005743,               0.005743,               0.005743
                     45,                0.82974,                0.66146,                 1.1483,                 0.9473,                 0.9636,                0.98339,                  0.778,                0.95922,                0.64448,                 1.3261,               0.005644,               0.005644,               0.005644
                     46,                0.83488,                0.66921,                 1.1478,                 0.9526,                0.95497,                0.98422,                0.77984,                0.88747,                0.63885,                 1.2439,               0.005545,               0.005545,               0.005545
                     47,                 0.8113,                0.64642,                  1.142,                0.96297,                0.95272,                 0.9841,                0.78867,                0.90417,                0.65339,                  1.253,               0.005446,               0.005446,               0.005446
                     48,                0.80761,                0.65364,                 1.1326,                0.94938,                0.95823,                0.98356,                0.78692,                 0.8708,                0.60866,                 1.2129,               0.005347,               0.005347,               0.005347
                     49,                0.81234,                0.64702,                  1.135,                0.96223,                0.96053,                 0.9839,                 0.7944,                0.90416,                0.65394,                 1.2505,               0.005248,               0.005248,               0.005248
                     50,                0.80968,                0.65459,                 1.1363,                0.96607,                0.95348,                0.98595,                0.79509,                0.83788,                0.65679,                 1.1986,               0.005149,               0.005149,               0.005149
